,Date,pulls_count, issue_comment_count, issues_count, review_comments_count, comments_count, commits_count,events_count, issue_events_count, releases_count, tags_count,contributors_count,future_time_slice_contributors_count_actual,future_time_slice_contributors_count_predicted,
Data for presentation2:,06/01/10 12:00 AM,0,0,0,0,128,0,0,0,0,0,11,11,,
Data for presentation2:,07/01/10 12:00 AM,0,0,0,0,80,0,0,0,0,0,11,12,,
Data for presentation2:,07/31/10 12:00 AM,0,0,0,0,174,0,0,0,0,0,15,14,,
Data for presentation2:,08/30/10 12:00 AM,0,9,0,0,79,0,0,0,0,0,14,15,,
Data for presentation2:,09/29/10 12:00 AM,0,68,3,0,171,0,0,0,0,0,27,31,,
Data for presentation2:,10/29/10 12:00 AM,0,148,9,0,299,0,0,0,0,0,34,34,,
Data for presentation2:,11/28/10 12:00 AM,0,99,2,0,220,0,0,0,0,0,39,37,,
Data for presentation2:,12/28/10 12:00 AM,0,131,15,0,153,0,0,0,0,0,49,83,,
Data for presentation2:,01/27/11 12:00 AM,0,318,30,0,279,0,0,0,0,0,95,74,,
Data for presentation2:,02/26/11 12:00 AM,1,224,16,0,241,0,0,0,0,0,70,59,,
Data for presentation2:,03/28/11 12:00 AM,0,151,5,0,84,0,0,0,0,0,61,156,,
Data for presentation2:,04/27/11 12:00 AM,1,529,54,0,186,0,0,0,0,0,154,124,,
Data for presentation2:,05/27/11 12:00 AM,4,790,57,0,92,0,0,0,0,0,153,153,,
Data for presentation2:,06/26/11 12:00 AM,4,902,26,0,216,0,0,0,0,0,170,198,,
Data for presentation2:,07/26/11 12:00 AM,3,862,40,0,305,0,0,0,0,0,203,187,,
Data for presentation2:,08/25/11 12:00 AM,0,1125,29,0,194,0,0,0,0,0,208,252,,
Data for presentation2:,09/24/11 12:00 AM,1,1942,21,0,269,0,0,0,0,0,245,224,,
Data for presentation2:,10/24/11 12:00 AM,1,1892,20,0,225,0,0,0,1,0,242,241,,
Data for presentation2:,11/23/11 12:00 AM,2,2114,19,0,234,0,0,0,3,0,217,237,,
Data for presentation2:,12/23/11 12:00 AM,1,1851,13,0,158,0,0,0,3,0,245,277,,
Data for presentation2:,01/22/12 12:00 AM,0,2498,15,0,315,0,0,0,2,0,319,327,,
Data for presentation2:,02/21/12 12:00 AM,3,2458,38,0,357,0,0,0,7,0,345,376,,
Data for presentation2:,03/22/12 12:00 AM,2,2948,43,0,257,0,0,0,5,0,421,401,,
Data for presentation2:,04/21/12 12:00 AM,1,2823,54,0,267,0,0,0,3,0,419,446,,
Data for presentation2:,05/21/12 12:00 AM,4,4250,85,8,391,0,0,0,2,0,450,438,,
Data for presentation2:,06/20/12 12:00 AM,1,3903,35,0,371,0,0,0,8,0,408,420,,
Data for presentation2:,07/20/12 12:00 AM,4,5272,40,1,239,0,0,0,7,0,417,401,,
Data for presentation2:,08/19/12 12:00 AM,4,3971,39,2,330,0,0,0,3,0,392,452,,
Data for presentation2:,09/18/12 12:00 AM,10,4848,31,5,303,0,0,0,5,0,469,423,,
Data for presentation2:,10/18/12 12:00 AM,10,3052,59,0,220,0,0,0,3,0,427,402,,
Data for presentation2:,11/17/12 12:00 AM,4,2182,29,4,280,0,0,0,4,0,397,354,,
Data for presentation2:,12/17/12 12:00 AM,6,1937,43,7,312,0,0,0,3,0,345,471,,
Data for presentation2:,01/16/13 12:00 AM,20,3459,107,66,233,0,0,0,3,0,546,637,,
Data for presentation2:,02/15/13 12:00 AM,24,5963,178,44,361,0,0,0,5,0,666,682,,
Data for presentation2:,03/17/13 12:00 AM,18,5461,127,19,390,0,0,0,6,0,687,726,,
Data for presentation2:,04/16/13 12:00 AM,4,6003,124,50,370,0,0,0,5,0,756,711,,
Data for presentation2:,05/16/13 12:00 AM,2,6133,127,3,300,0,0,0,4,0,703,633,,
Data for presentation2:,06/15/13 12:00 AM,5,4652,170,0,241,0,0,0,7,0,636,673,,
Data for presentation2:,07/15/13 12:00 AM,6,5211,130,13,275,0,0,0,15,0,724,682,,
Data for presentation2:,08/14/13 12:00 AM,8,5244,113,0,253,0,0,0,21,0,667,709,,
Data for presentation2:,09/13/13 12:00 AM,7,5035,149,0,122,0,0,0,13,0,690,686,,
Data for presentation2:,10/13/13 12:00 AM,14,5038,112,14,201,0,0,0,12,0,700,679,,
Data for presentation2:,11/12/13 12:00 AM,15,5129,106,17,148,0,0,0,10,0,642,484,,
Data for presentation2:,12/12/13 12:00 AM,4,3460,95,35,82,0,0,0,12,0,467,647,,
Data for presentation2:,01/11/14 12:00 AM,9,6355,196,63,300,0,0,0,24,0,702,711,,
Data for presentation2:,02/10/14 12:00 AM,2,7457,134,23,94,0,0,0,16,0,779,748,,
Data for presentation2:,03/12/14 12:00 AM,11,7248,142,25,100,0,0,0,18,0,785,758,,
Data for presentation2:,04/11/14 12:00 AM,9,6628,216,52,129,0,0,0,14,0,813,821,,
Data for presentation2:,05/11/14 12:00 AM,18,5390,143,9,151,0,0,0,15,0,825,823,,
Data for presentation2:,06/10/14 12:00 AM,10,5600,139,34,262,0,0,0,12,0,807,705,,
Data for presentation2:,07/10/14 12:00 AM,9,5761,135,18,238,0,0,0,15,0,699,725,,
Data for presentation2:,08/09/14 12:00 AM,13,5276,142,7,137,0,0,0,14,0,753,735,,
Data for presentation2:,09/08/14 12:00 AM,10,6099,261,56,167,0,0,0,18,0,771,754,,
Data for presentation2:,10/08/14 12:00 AM,10,6917,139,12,156,0,0,0,21,0,767,723,,
Data for presentation2:,11/07/14 12:00 AM,8,4380,138,8,87,0,0,0,19,0,721,703,,
Data for presentation2:,12/07/14 12:00 AM,6,4975,162,4,69,0,0,0,12,0,733,887,,
Data for presentation2:,01/06/15 12:00 AM,9,8415,366,32,110,0,0,0,27,0,991,1033,,
Data for presentation2:,02/05/15 12:00 AM,9,9109,232,18,129,0,0,0,41,0,1041,996,,
Data for presentation2:,03/07/15 12:00 AM,13,8656,191,0,129,0,0,0,29,0,971,890,,
Data for presentation2:,04/06/15 12:00 AM,12,7986,227,4,107,0,0,0,25,0,904,975,,
Data for presentation2:,05/06/15 12:00 AM,27,8807,204,50,97,0,0,0,23,0,1005,924,,
Data for presentation2:,06/05/15 12:00 AM,22,7824,239,44,68,0,0,0,23,0,969,978,,
Data for presentation2:,07/05/15 12:00 AM,20,8453,410,0,44,0,0,0,21,0,943,955,,
Data for presentation2:,08/04/15 12:00 AM,24,8655,357,62,76,0,0,0,17,0,1001,943,,
Data for presentation2:,09/03/15 12:00 AM,16,8664,461,0,143,0,0,0,15,0,971,1017,,
Data for presentation2:,10/03/15 12:00 AM,11,8681,243,10,97,0,0,0,14,0,1038,1075,1075,1030.43570885
Data for presentation2:,11/02/15 12:00 AM,39,9605,346,0,106,0,0,0,24,0,980,819,819,974.968682787
Data for presentation2:,12/02/15 12:00 AM,39,5128,215,15,73,0,0,0,11,0,851,824,824,842.703752167
Data for presentation2:,01/01/16 12:00 AM,64,5923,317,37,85,0,0,0,17,0,961,1041,1041,949.711349448
Data for presentation2:,01/31/16 12:00 AM,53,7123,344,56,132,0,0,0,16,0,1183,1093,1093,1156.41381538
Data for presentation2:,03/01/16 12:00 AM,75,7417,355,27,107,0,0,0,19,0,1081,1034,1034,1069.16482205
Data for presentation2:,03/31/16 12:00 AM,76,7758,339,129,92,0,0,0,31,0,1036,1013,1013,1017.70862527
Data for presentation2:,04/30/16 12:00 AM,83,8624,502,36,97,0,0,0,32,0,1121,997,997,1098.03875676
